Company_Code,Vendor_Code,Vendor_Name,PAN,Person_Code,Bill_Date,Bill_No,PO_Number,GL,GL_Description,Description,Bill_Amount,Basic_Amount,Posting_Date,Document_Type,Document_No,TDS_Section_Code,TDS_Section,TDS_Rate,TDS_Amount
1001,D0002G,Larsen & Toubro Ltd,LARCD7595X,8779657,4/1/2026,INV/2026/00001,,16290053,COMP-393(1)8(ii),194Q payment - Larsen & Toubro Ltd,2922581.17,2476763.7,4/5/2026,KR,2510000001,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0,0.0
1001,D0002G,Larsen & Toubro Ltd,LARCD7595X,24070835,4/1/2026,INV/2026/00002,,16290053,COMP-393(1)8(ii),194Q payment - Larsen & Toubro Ltd,3366413.62,2852892.9,4/6/2026,KA,2310000002,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0,0.0
1001,D0002G,Larsen & Toubro Ltd,LARCD7595X,5316571,4/1/2026,INV/2026/00003,3400000003,50258000,Purch Offset Account,194Q payment - Larsen & Toubro Ltd,2893275.42,2451928.32,4/7/2026,KR,2510000003,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0,0.0
1079,D0005E,Blue Star Ltd,BLUCD2478R,24945511,4/1/2026,INV/2026/00004,3400000004,16290053,COMP-393(1)8(ii),194Q payment - Blue Star Ltd,3237000.51,2743220.77,4/5/2026,KA,2310000004,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2743.22
1079,D0005E,Blue Star Ltd,BLUCD2478R,15921544,4/6/2026,INV/2026/00005,,16290053,COMP-393(1)8(ii),194Q payment - Blue Star Ltd,2424548.01,2054701.7,4/6/2026,KA,2310000005,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2054.7
1079,D0005E,Blue Star Ltd,BLUCD2478R,20005183,4/1/2026,INV/2026/00006,3400000006,16290053,COMP-393(1)8(ii),194Q payment - Blue Star Ltd,2648289.72,2244313.32,4/7/2026,KA,2310000006,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2244.31
1081,D0010E,Kirloskar Brothers Ltd,KIRCD7366R,10146804,4/1/2026,INV/2026/00007,3400000007,16290053,COMP-393(1)8(ii),194Q payment - Kirloskar Brothers Ltd,3417272.75,2895993.86,4/5/2026,KR,2510000007,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2895.99
1081,D0010E,Kirloskar Brothers Ltd,KIRCD7366R,9396540,4/1/2026,INV/2026/00008,,50258000,Purch Offset Account,194Q payment - Kirloskar Brothers Ltd,2508749.14,2126058.59,4/6/2026,KR,2510000008,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2126.06
1081,D0010E,Kirloskar Brothers Ltd,KIRCD7366R,14331801,4/1/2026,INV/2026/00009,,50258000,Purch Offset Account,194Q payment - Kirloskar Brothers Ltd,3050322.37,2585018.96,4/7/2026,KA,2310000009,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2585.02
1001,D0011H,Voltas Ltd,VOLCD7228J,2302305,4/1/2026,INV/2026/00010,,16290054,OTH-393(1)8(ii),194Q payment - Voltas Ltd,2363797.49,2003218.21,4/5/2026,KR,2510000010,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2003.22
