Company_Code,Vendor_Number,Vendor_Name,Vendor_PAN,Clearing_Date,Clearing_Document,Assignment_Number,Fiscal_Year,Document_Number,Line_Item,Reference_Document_Number,Reference_Fiscal_Year,Reference_Line_Item,Posting_Date,Document_Date,Currency_Key,Reference_Document,Document_Type,Debit_Credit,Local_Amount,Document_Amount,Line_Item_Text,GL_Account,special_gl_transaction_type,special_gl_indicator,Baseline_Date_For_Payment,Payment_Terms,Withholding_Tax_Base_Amount,Withholding_Tax_Amount,withholding_tax_type,withholding_tax_code,wtax_rate,tax_base_percentage,tds_rate,official_withholding_tax_key,tds_description
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-02-11,2610576617,3400839037,2026,3191045266,001,,0000,000,2026-02-06,2026-01-15,INR,262701704536,RE,H,-94825.8,-94825.8,On Site Mnapower -JBM-AUG-25,0016080001,,,2026-02-06,C005,80910,0,CI,C1,0.0,100,2,194C,Cont. Cos - 2%-New Sec-393(1)6(i)
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-01-28,2610552226,,2026,2610552226,001,,0000,000,2026-01-28,2026-01-28,INR,,KZ,S,1926324.87,1926324.87,,0016080001,,,2026-01-28,,1643627.85,0,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-02-11,2610576617,,2026,2610576617,001,,0000,000,2026-02-11,2026-02-11,INR,,KZ,S,1802610.78,1802610.78,,0016080001,,,2026-02-11,,1538071,0,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-01-30,2610559461,3400838899,2026,3190795102,001,,0000,000,2026-01-30,2025-12-05,INR,262701585157,RE,H,-1101725.5,-1101725.5,MATHADI-OCT-25,0016080001,,,2026-01-30,C005,940039.4,7521,JI,J1,0.0,100,10,94JB,Prof. Serv. Fees@10%-CONS393(1)6(iii)(b)
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2025-11-19,2610449708,3400815227,2026,3188447703,001,,0000,000,2025-11-18,2025-09-10,INR,262701362713,RE,H,-90572,-90572,CLMS-AUG-25,0016060001,,,2025-11-18,C005,77280.42,619,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-03-11,2610619349,3400822467,2026,3192143431,001,,0000,000,2026-03-09,2026-02-11,INR,262701779907,RE,H,-115765.73,-115765.73,CLMS-JAN-26,0016080001,,,2026-03-09,C005,98776.89,791,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-03-30,2610650006,3400848807,2026,3192752214,001,,0000,000,2026-03-26,2025-12-31,INR,262701652741,RE,H,-2968812.03,-2968812.03,Inbound fixed Management fees,0016080001,,,2026-03-26,C005,2533116.13,20265,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-03-01,2251084472,MLL,2026,2251084472,003,,0000,000,2026-03-01,2026-02-28,INR,MLL2,JR,S,6050065.45,6050065.45,ASB GRIR FEB 2026,0016080001,,,2026-02-28,D017,0,0,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2025-09-17,2610357679,3400812933,2026,3185982857,001,,0000,000,2025-09-16,2025-08-29,INR,262701338081,RE,H,-12281.22,-12281.22,Fixed staff & GMI-July-25,0016080001,,,2025-09-16,C005,10479,84,CI,C1,0.0,100,2,194C,Cont. Cos - 2%-New Sec-393(1)6(i)
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2025-09-17,2610357679,3400813118,2026,3185984775,001,,0000,000,2025-09-16,2024-08-19,INR,252701258327,RE,H,-7325,-7325,Manpower Line feeding-Apr-24,0016080001,,,2025-09-16,C005,6250,50,CI,C1,0.0,100,2,194C,Cont. Cos - 2%-New Sec-393(1)6(i)
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-01-30,2610559461,,2026,2610559461,001,,0000,000,2026-01-30,2026-01-30,INR,,KZ,S,7531823.18,7531823.18,,0016080001,,,2026-01-30,,6426472.18,0,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-03-01,2251084464,MLL,2026,2251084464,003,,0000,000,2026-03-01,2026-02-28,INR,MLL1,JR,S,49569861.26,49569861.26,ASB GRIR FEB 2026,0016080001,,,2026-02-28,D017,0,0,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-01-20,2610544798,3400817840,2026,3190447152,001,,0000,000,2026-01-20,2025-07-23,INR,262701251843,RE,H,-123881.18,-123881.18,Fixed Staff & GMI-JUN-25,0016080001,,,2026-01-20,C005,105701,846,CI,C1,0.0,100,2,194C,Cont. Cos - 2%-New Sec-393(1)6(i)
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2025-09-30,2610379567,3400816098,2026,3186383811,001,,0000,000,2025-09-27,2025-04-19,INR,262701042874,RE,H,-600645.05,-600645.05,Warehouse  M&M 255K Warehouse Electricity & Solar,0016080001,,,2025-09-27,C005,512495.81,4100,CI,C1,0.0,100,2,194C,Cont. Cos - 2%-New Sec-393(1)6(i)
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2025-09-01,2250427224,MLL,2026,2250427224,003,,0000,000,2025-09-01,2025-08-31,INR,MLL4,JR,S,301556.08,301556.08,ASB GRIR AUG 25,0016080001,,,2025-08-31,D017,0,0,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-02-01,2250970476,GRIR JAN'26,2026,2250970476,001,,0000,000,2026-02-01,2026-01-31,INR,GRIR_11,JR,S,4869872.33,4869872.33,GRIR JAN'2026,0016080001,,,2026-01-31,D017,0,0,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-03-30,2610650006,3400848807,2026,3192752220,001,,0000,000,2026-03-26,2026-02-28,INR,262701829323,RE,H,-2799733.4,-2799733.4,Inbound fixed Management fees,0016080001,,,2026-03-26,C005,2388851.18,19111,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-02-21,2610576604,,2026,2610576604,001,,0000,000,2026-02-21,2026-02-21,INR,,KZ,H,-1802610.78,-1802610.78,,0016080001,,,2026-02-21,,1538071,0,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2025-09-17,2610357679,3400813118,2026,3185982852,001,,0000,000,2025-09-16,2025-04-19,INR,262701042690,RE,H,-195265.62,-195265.62,Line feeding manpower's -Mar-25,0016080001,,,2025-09-16,C005,166609,1333,CI,C1,0.0,100,2,194C,Cont. Cos - 2%-New Sec-393(1)6(i)
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2025-09-01,2250427209,MLL,2026,2250427209,003,,0000,000,2025-09-01,2025-08-31,INR,MLL2,JR,S,1812199.16,1812199.16,ASB GRIR AUG 25,0016080001,,,2025-08-31,D017,0,0,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2026-01-06,2610523537,3400830585,2026,3189955110,001,,0000,000,2026-01-05,2025-10-31,INR,262701478479,RE,H,-9129.2,-9129.2,MLL FTC-12JPH PAINT SHOP-Inventory-DEC-24,0016080001,,,2026-01-05,C005,7790,63,CI,C1,0.0,100,2,194C,Cont. Cos - 2%-New Sec-393(1)6(i)
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2025-12-01,4999647254,Recon ASB Nov25,2026,4999647254,001,,0000,000,2025-12-01,2025-11-30,INR,RECON NOV25_61,TP,S,12962,12962,Recon ASB Nov25,0016080001,,,2025-11-30,D017,0,0,,,,,,,
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2025-10-15,2610399394,,2026,3187365696,001,,0000,000,2025-10-15,2025-07-14,INR,262701234242,RE,H,-249728.22,-249728.22,EXPORT Container Charges- Jun-25,0016080001,,,2025-10-15,C005,213079,1705,CI,C1,0.0,100,2,194C,Cont. Cos - 2%-New Sec-393(1)6(i)
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2025-10-15,2610399394,3400814055,2026,3187365696,001,,0000,000,2025-10-15,2025-07-14,INR,262701234242,RE,H,-249728.22,-249728.22,EXPORT Container Charges- Jun-25,0016080001,,,2025-10-15,C005,213079,1705,CI,C1,0.0,100,2,194C,Cont. Cos - 2%-New Sec-393(1)6(i)
1001,DIM00398AJ,MAHINDRA LOGISTICS LIMITED,27AAFCM2530H1ZO,2025-10-08,2610387907,3400817243,2026,3187058439,001,,0000,000,2025-10-07,2025-07-23,INR,262701252794,RE,H,-5916034.53,-5916034.53,M&M 135K Warehouse Service charges for May-25,0016080001,,,2025-10-07,C005,5047811.47,40383,CI,C1,0.0,100,2,194C,Cont. Cos - 2%-New Sec-393(1)6(i)
